;Дорога:  Октябрьская;;;;;;;;;Прогноз погоды:;;;;;;Сб 23.ноя.;;;;-;Пн 25.ноя. 2024 г.;;;;;;;;;;;;;;;;
Регион;;;;Вид осадков.;;;;Осадки, мм/12ч.;;;;;;Температура возд, гр.С.;;;;;;Высота снега,см;;;;;;Порывы ветра, м/с;;;;;;;Гололед;;;;
;Станция;Сб 23.ноя;;Вс 24.ноя;;Пн 25.ноя;;Сб 23.ноя;;Вс 24.ноя;;Пн 25.ноя;;Сб 23.ноя;;Вс 24.ноя;;Пн 25.ноя;;Сб 23.ноя;;Вс 24.ноя;;Пн 25.ноя;;Сб 23.ноя;;Вс 24.ноя;;Пн 25.ноя;;Сб 23.ноя;;Вс 24.ноя;;Пн 25.ноя;
;;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д
Моск;Москва;· *;· *;;;;;10;10;0;0;0;0;-2;4;-6;-1;-7;-1;5;4;3;3;3;3;14;10;9;6;3;10;-;-;-;-;-;-
Моск;Тверь;***;***;;;;;6;6;0;0;0;0;-3;0;-10;0;-11;-1;10;13;13;13;13;13;13;11;9;7;5;14;-;-;-;-;-;-
Моск;Бологое;**;*;;*;;· *;3;1;0;1;0;3;-3;0;-7;-1;-7;0;5;5;5;5;5;6;12;10;10;7;11;14;-;-;-;-;-;+
Моск;Сонково;**;· *;;;;;4;8;0;0;0;0;-3;0;-9;-2;-10;-2;5;9;9;9;9;9;13;10;9;8;4;15;-;-;-;-;-;-
Моск;Ржев;***;· *;;;;**;8;4;0;0;0;2;-3;0;-9;-1;-10;-1;10;11;11;11;11;12;13;10;8;7;7;14;-;-;-;-;-;+
С.-Петер;Чудово;· *;;;;;· *;3;0;0;0;0;3;-2;0;-6;0;-5;1;3;3;3;3;3;4;10;9;11;8;14;16;-;-;-;-;-;-
С.-Петер;Малая Вишера;· *;;*;;;· *;2;0;1;0;0;4;-3;0;-6;0;-5;1;3;3;3;3;3;4;10;9;10;8;14;16;-;-;-;-;-;-
С.-Петер;Тосно;· *;;*;;;· *;1;0;1;0;0;3;-3;0;-5;0;-5;2;2;2;3;3;3;4;8;8;11;9;14;16;-;-;-;-;-;-
С.-Петер;Санкт-Петербург;;*;*;;;· *;0;1;1;0;0;6;-2;0;-4;1;-5;3;2;3;3;3;3;4;8;6;6;9;15;16;-;-;-;-;-;-
С.-Петер;Мга;· *;;*;;;· *;1;0;1;0;0;4;-2;0;-5;0;-5;2;2;2;2;2;2;4;8;7;10;9;14;16;-;-;-;-;-;-
С.-Петер;Зеленогорск;· *;· *;**;· *;;· *;1;1;2;1;0;8;-2;0;-6;2;-4;4;0;0;0;0;0;0;9;6;7;9;16;16;-;-;-;-;-;-
С.-Петер;Выборг;· *;· *;;;;···;2;1;0;0;0;12;-2;0;-7;0;-4;5;0;0;0;0;0;0;8;4;8;7;16;16;-;-;-;-;-;-
С.-Петер;Приозерск;**;;;;;· *;4;0;0;0;0;8;-3;-1;-13;-3;-9;3;0;0;0;0;0;0;10;5;9;7;15;15;-;-;-;-;-;-
СПб-В;Дно;· *;;*;;;· *;2;0;1;0;0;6;-3;-1;-4;0;-5;2;2;2;2;2;2;4;6;11;11;8;15;15;-;-;-;-;-;-
СПб-В;Великие Луки;· *;;;;;· *;2;0;0;0;0;2;-3;0;-4;1;-5;1;2;1;1;1;1;2;8;10;9;7;14;14;-;-;-;-;-;+
СПб-В;Псков;· *;;*;;;· *;1;0;1;0;0;8;-3;0;-4;1;-5;3;2;2;2;2;2;5;6;9;10;7;15;14;-;-;-;-;-;-
СПб-В;Гатчина;· *;;*;;;· *;1;0;1;0;0;4;-3;-1;-5;0;-6;3;4;4;4;4;4;6;8;9;10;9;15;16;-;-;-;-;-;+
