;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Дорога:  Октябрьская;;;;;;;;;Прогноз погоды:;;;;;;Вт 26.ноя.;;;;-;Чт 28.ноя. 2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Регион;;;;Вид осадков.;;;;Осадки, мм/12ч.;;;;;;Температура возд, гр.С.;;;;;;Высота снега,см;;;;;;Порывы ветра, м/с;;;;;;;Гололед;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Станция;Вт 26.ноя;;Ср 27.ноя;;Чт 28.ноя;;Вт 26.ноя;;Ср 27.ноя;;Чт 28.ноя;;Вт 26.ноя;;Ср 27.ноя;;Чт 28.ноя;;Вт 26.ноя;;Ср 27.ноя;;Чт 28.ноя;;Вт 26.ноя;;Ср 27.ноя;;Чт 28.ноя;;Вт 26.ноя;;Ср 27.ноя;;Чт 28.ноя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;н;д;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Моск;Москва;;;;;*;· *;0;0;0;0;1;2;-4;+0;-6;-1;-4;+0;3;3;3;0;0;0;12;9;7;4;3;3;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Моск;Тверь;·;;;*;;· *;2;0;0;1;0;1;-3;+1;-6;-2;-9;+0;13;11;10;0;0;0;13;13;13;8;3;2;+;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Моск;Бологое;;;· *;;· *;· *;0;0;1;0;1;1;-2;+3;-1;+1;-1;+1;6;4;3;0;0;0;14;14;11;6;2;3;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Моск;Сонково;**;;;;*;· *;2;0;0;0;1;1;-4;+1;-5;-1;-5;-1;9;8;7;0;0;0;14;14;13;9;4;2;+;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Моск;Ржев;·;;;*;*;· *;1;0;0;1;1;2;-3;+1;-6;-1;-8;-0;12;10;10;0;0;0;13;13;12;7;4;2;+;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
С.-Петер;Чудово;;· *;· *;;;· *;0;1;1;0;0;1;-1;+4;+0;+3;-0;+3;3;2;2;1;1;1;14;16;11;8;4;4;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
С.-Петер;Малая Вишера;;·;· *;;;· *;0;1;1;0;0;2;-1;+4;+0;+2;-0;+3;3;2;2;1;1;1;14;15;11;8;3;3;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
С.-Петер;Тосно;;;· *;;;;0;0;1;0;0;0;-0;+4;+1;+3;-0;+3;3;2;1;1;1;1;15;17;10;7;4;2;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
