,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Дорога:  Октябрьская,,,,,,,,,Прогноз погоды:,,,,,,Sun 24/Nov/,,,,-,Tue 26/Nov/ 2024 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регион,,,,Вид осадков.,,,,"Осадки, мм/12ч.",,,,,,"Температура возд, гр.С.",,,,,,"Высота снега,см",,,,,,"Порывы ветра, м/с",,,,,,,Гололед,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Станция,Sun 24/Nov,,Mon 25/Nov,,Tue 26/Nov,,Sun 24/Nov,,Mon 25/Nov,,Tue 26/Nov,,Sun 24/Nov,,Mon 25/Nov,,Tue 26/Nov,,Sun 24/Nov,,Mon 25/Nov,,Tue 26/Nov,,Sun 24/Nov,,Mon 25/Nov,,Tue 26/Nov,,Sun 24/Nov,,Mon 25/Nov,,Tue 26/Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Моск,Москва,,,,,,,0,0,0,0,0,0,-6,-2,-8,-2,-9,-1,5,5,5,5,5,5,6,5,5,3,2,3,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Моск,Тверь,,,,,,,0,0,0,0,0,0,-11,-2,-11,-4,-15,-4,13,13,14,14,14,14,6,5,2,1,2,7,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Моск,Бологое,,,,,,,0,0,0,0,0,0,-7,-0,-7,-1,-6,-2,5,5,5,5,5,5,10,9,6,12,14,12,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Моск,Сонково,,,,,,,0,0,0,0,0,0,-7,-1,-8,-3,-8,-4,4,4,4,4,4,4,8,6,4,4,7,8,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Моск,Ржев,,,,,,,0,0,0,0,0,0,-10,-1,-10,-3,-12,-4,9,9,9,9,9,9,8,5,1,4,6,7,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С.-Петер,Чудово,*,,,,,· *,1,0,0,0,0,3,-4,+1,-5,+0,-2,+1,2,2,2,2,1,2,10,9,8,15,16,14,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С.-Петер,Малая Вишера,,,,,,· *,0,0,0,0,0,1,-5,+0,-5,-0,-2,+1,3,3,3,3,2,2,10,8,7,16,16,13,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
