,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Дорога:  Октябрьская,,,,,,,,,Прогноз погоды:,,,,,,11/25/2024,,,,-,11/27/2024,,,,,,,,,,,,,,,,
Регион,,,,Вид осадков.,,,,"Осадки, мм/12ч.",,,,,,"Температура возд, гр.С.",,,,,,"Высота снега,см",,,,,,"Порывы ветра, м/с",,,,,,,Гололед,,,,
,Станция,11/25/2024,,11/26/2024,,11/27/2024,,11/25/2024,,11/26/2024,,11/27/2024,,11/25/2024,,11/26/2024,,11/27/2024,,11/25/2024,,11/26/2024,,11/27/2024,,11/25/2024,,11/26/2024,,11/27/2024,,11/25/2024,,11/26/2024,,11/27/2024,
,,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д
Моск,Москва,,,,,,,0,0,0,0,0,0,-9.7,-2.6,-4.8,0.5,-8.9,-0.3,9,9,9,7,7,7,2,10,10,7,4,2,0,0,0,0,0,0
Моск,Тверь,,*,,,,,0,1,0,0,0,0,-12.6,-1.2,-3.5,0.4,-4.4,-2.4,23,22,22,21,20,20,10,13,14,11,9,6,0,1,0,0,0,0
Моск,Бологое,,· *,,,,· *,0,2,0,0,0,3,-6.3,0.1,-2.2,3.5,-1.2,0.8,5,5,5,4,3,4,15,16,13,13,9,8,0,1,0,0,0,0
Моск,Сонково,,*,,,,,0,1,0,0,0,0,-9.5,-1.3,-3.6,0.4,-3.9,-0.2,9,9,9,8,8,8,11,15,14,13,10,8,0,1,0,0,0,0
Моск,Ржев,,*,,,,,0,1,0,0,0,0,-10.1,-1.3,-4,0.2,-6.1,-3.6,14,14,14,13,13,13,13,14,13,11,9,5,0,1,0,0,0,0
С.-Петер,Чудово,,· *,,,· *,· *,0,3,0,0,2,2,-3.3,1.7,-0.3,4.2,-0.3,1.7,0,1,1,1,2,2,16,16,16,14,10,6,0,0,0,0,0,0
С.-Петер,Малая Вишера,,· *,,,· *,· *,0,3,0,0,2,2,-3.6,1.4,-0.6,4.2,-0.2,1.8,0,1,1,1,1,2,16,16,16,14,10,7,0,0,0,0,0,0
С.-Петер,Тосно,*,·,,,· *,· *,1,2,0,0,3,2,-3.4,2.8,0.8,5.1,-0.2,2.1,3,3,2,1,2,2,18,17,16,14,9,5,1,0,0,0,0,0
С.-Петер,Санкт-Петербург,· *,·,,·,· *,· *,1,2,0,1,12,3,-2.5,4.1,2.1,5.8,0.7,3.3,5,4,2,1,1,1,17,17,14,13,7,3,0,0,0,0,0,0
С.-Петер,Мга,*,·,,,· *,· *,1,2,0,0,6,3,-3.1,3.1,1.1,5.4,0.2,2.4,1,2,1,1,1,1,18,17,15,13,9,5,0,0,0,0,0,0
С.-Петер,Зеленогорск,· *,·,·,·,· *,·,2,2,1,2,12,2,-1.4,5.5,3.5,6.3,1.6,4.7,0,0,0,0,0,0,18,17,15,13,6,4,0,0,0,0,0,0
С.-Петер,Выборг,· *,·,·,··,·,·,4,2,3,8,3,1,-0.3,6.4,4.4,6.7,3.3,5.9,0,0,0,0,0,0,18,20,17,13,5,4,0,0,0,0,0,0
