,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Дорога:  Октябрьская,,,,,,,,,Прогноз погоды:,,,,,,Wed 27/Nov/,,,,-,Fri 29/Nov/ 2024 г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Регион,,,,Вид осадков.,,,,"Осадки, мм/12ч.",,,,,,"Температура возд, гр.С.",,,,,,"Высота снега,см",,,,,,"Порывы ветра, м/с",,,,,,,Гололед,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Станция,Wed 27/Nov,,Thu 28/Nov,,Fri 29/Nov,,Wed 27/Nov,,Thu 28/Nov,,Fri 29/Nov,,Wed 27/Nov,,Thu 28/Nov,,Fri 29/Nov,,Wed 27/Nov,,Thu 28/Nov,,Fri 29/Nov,,Wed 27/Nov,,Thu 28/Nov,,Fri 29/Nov,,Wed 27/Nov,,Thu 28/Nov,,Fri 29/Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Моск,Москва,,,,· *,**,· *,0,0,0,2,2,1,-4,+0,-6,0,-4,+0,5,5,5,0,0,0,4,4,3,5,2,10,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Моск,Тверь,,*,,· *,*,*,0,1,0,3,1,1,-9,-1,-3,+0,-6,+1,14,14,14,0,0,0,8,5,6,6,4,9,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Моск,Бологое,*,,,· *,· *,,1,0,0,3,2,0,-7,+1,-3,+1,-2,+1,5,5,4,0,0,0,10,10,7,6,7,7,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Моск,Сонково,,*,,· *,**,*,0,1,0,2,2,1,-7,-1,-3,+0,-4,+0,4,4,4,0,0,0,9,7,7,6,5,9,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Моск,Ржев,,*,*,· *,**,*,0,1,1,4,2,1,-9,-1,-4,+0,-4,+1,9,9,9,0,0,0,7,6,7,8,6,9,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С.-Петер,Чудово,· *,,,· *,· *,,3,0,0,3,1,0,-3,+3,-1,+1,-2,+2,4,3,2,2,2,2,11,10,7,3,9,7,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С.-Петер,Малая Вишера,**,,,· *,· *,,4,0,0,3,1,0,-4,+3,-2,+1,-2,+2,5,4,3,3,3,2,10,11,7,4,9,8,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С.-Петер,Тосно,· *,· *,,· *,· *,,1,1,0,2,1,0,-2,+3,-1,+2,-1,+3,2,1,1,1,1,1,12,10,6,2,10,7,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С.-Петер,Санкт-Петербург,·,·,,· *,· *,,1,1,0,1,1,0,-1,+5,+2,+4,+0,+3,1,1,1,1,1,1,12,11,6,2,8,7,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С.-Петер,Мга,· *,· *,,· *,· *,,1,1,0,1,1,0,-2,+4,+0,+2,-1,+3,2,1,9,9,9,9,12,11,6,3,9,7,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С.-Петер,Зеленогорск,· *,·,·,· *,,,1,1,1,1,0,0,+0,+5,+3,+5,-0,+2,0,0,,,,,13,12,6,2,8,7,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
